Name,Completed,Assignee,"Due Date",Tags,"1-line summary",Link,Checkbox,"Paper Review Link"
π₀.₇,true,,,Massive Pre-training; Cross-Embodiment; World Model,"5B-param steerable VLA that gets zero-shot cross-embodiment transfer mostly through scale, metadata conditioning, and world-model/subgoal-image style steering.",https://arxiv.org/pdf/2604.15483,false,"Obsidian: VLA-WAM Training Methodology Report"
DreamZero,true,,,Massive Pre-training; Cross-Embodiment; World Model; Video Prediction; Zero-shot,"14B WAM that jointly generates future frames and actions; useful because the policy is also a prediction engine, so prediction honesty becomes measurable.",https://dreamzero0.github.io,false,"Obsidian: VLA-WAM Training Methodology Report"
GR00T,true,,,Massive Pre-training; Cross-Embodiment; Latent Action Space; Humanoid,"Dual-system humanoid VLA with Eagle-2 + DiT action flow model, per-embodiment adapters, and a large data pyramid; strong native humanoid baseline but not automatically strongest on DROID/Agilex-style adaptation.",https://arxiv.org/abs/2503.14734,false,"Obsidian: VLA-WAM Training Methodology Report; Benchmarks and Robustness Report"
CLAP,true,,,Massive Pre-training; Cross-Embodiment; Latent Action Space; Contrastive Learning,"Contrastive latent action pretraining that aligns human video and robot action trajectories; interesting because it tries to make human video useful without pretending pixels alone are enough.",https://arxiv.org/abs/2601.04061,false,"Obsidian: VLA-WAM Training Methodology Report"
LPS,true,,,Latent Action Space; World Model; Online Adaptation; Planning,"Uses a pretrained world model/value setup to steer an embodiment-specific policy at inference; does not solve action translation by itself, but is a clean reference for planning as a wrapper.",https://arxiv.org/pdf/2507.13340,false,"Obsidian: VLA-WAM Training Methodology Report"
Zero-shot World Models,false,,,World Model; Video Prediction; Zero-shot,"Sparse temporally-factored video predictor that extracts depth, segmentation, and optical flow zero-shot through perturb-and-compare style causal inference.",https://arxiv.org/abs/2604.10333,false,
On-the-Fly VLA Adaptation,true,,,World Model; Online Adaptation; Test-time RL,"Test-time RL for adapting VLAs online with world-model critics; useful adjacent work, but mostly same-embodiment rather than clean cross-embodiment transfer.",https://arxiv.org/pdf/2601.06748,false,"Obsidian: VLA-WAM Training Methodology Report"
π₀,true,,,Massive Pre-training; Flow Matching; Action Expert; Robot Data,"PI's first major flow-matching VLA: big robot data, VLM backbone, and continuous action chunks for dexterous control. Important baseline for why action experts beat token-only action heads.",https://arxiv.org/abs/2410.24164,false,"Obsidian: VLA-WAM Training Methodology Report"
π₀.₅,true,,,Massive Pre-training; Open-world Generalization; Hierarchical Control,"Open-world mobile manipulation VLA that leans hard on diverse home data, high-level subtask prediction, and post-training; strongest practical baseline for prompt/image faithfulness tests.",https://pi.website/blog/pi05,false,"Obsidian: VLA-WAM Training Methodology Report; Benchmarks and Robustness Report"
π*₀.₆ / RECAP,true,,,Online RL; Post-training; Self-improvement,"PI iteration that adds experience-based RL/post-training and shows throughput gains on real tasks; important because it makes online adaptation look practical but expensive.",https://pi.website/blog/pistar06,false,"Obsidian: VLA-WAM Training Methodology Report"
RLT / RL Token,true,,,Online RL; RL Token; VLA Features; Expert Data,"Bootstraps online off-policy RL from frozen VLA features and a learned RL token; useful but not expert-free, so it changes what we can claim about no-data adaptation.",https://arxiv.org/pdf/2601.06748,false,"Obsidian: VLA-WAM Training Methodology Report"
MolmoAct2,true,,,Action Reasoning; OpenFAST; DROID; LIBERO,"Action reasoning model that mixes discrete action-token training with continuous action deployment; the DROID variant is directly relevant for PolaRiS/MolmoSpaces tests.",https://arxiv.org/abs/2602.11337,false,"Obsidian: VLA-WAM Training Methodology Report; Benchmarks and Robustness Report"
MolmoSpaces,true,,,Dataset; Environment; DROID-style Sim; Perturbations,"Open simulated ecosystem for DROID-style manipulation/navigation; useful because success is not saturated and prompt/camera perturbations expose real policy brittleness.",https://allenai.org/blog/molmospaces,false,"Obsidian: Datasets and Environments Report; Benchmarks and Robustness Report"
DROID,true,,,Dataset; Real Robot Data; DROID-style Franka,"Large in-the-wild Franka dataset/platform: trajectories, camera views, proprio, actions, language. It is data, not an environment, but it defines the distribution for pi0.5-DROID/MolmoAct2-DROID/DreamZero-DROID.",https://arxiv.org/abs/2403.12945,false,"Obsidian: Datasets and Environments Report"
PolaRiS,true,,,Environment; Real-to-Sim; DROID Evaluation,"DROID-aligned sim/eval stack; the immediate place to debug whether our DROID policies fail because of model limits, camera/action mismatch, or task distribution.",https://arxiv.org/pdf/2512.16881,false,"Obsidian: Datasets and Environments Report; Feasible Experiments and Compute Report"
OpenVLA,true,,,Open-source VLA; Tokenized Actions; Baseline,"Open-source VLA baseline with autoregressive action-token style decoding; useful mainly as a public baseline and as a contrast to action-expert/flow-policy designs.",https://openvla.github.io,false,"Obsidian: VLA-WAM Training Methodology Report"
Octo,true,,,Open-source Policy; Multi-robot Data; Baseline,"Open-source generalist robot policy trained on broad trajectory data; useful as a data-scale baseline but less central to the prediction-honesty question.",https://octo-models.github.io,false,"Obsidian: VLA-WAM Training Methodology Report"
RT-2,false,,,VLA; Web Knowledge; Tokenized Actions,"Classic web-to-robot VLA reference: maps internet-scale VLM knowledge into robot action tokens; important background for why token-centric action prediction was compelling early.",https://arxiv.org/abs/2307.15818,false,
Cosmos Policy,true,,,World Model; Video Diffusion; Planning; Value Model,"Fine-tunes Cosmos video models into policy/world/value roles; cleaner than DreamZero for action-conditioned planning, but still a heavier stack than our immediate frozen-model probes.",https://research.nvidia.com/labs/dir/cosmos-policy/,false,"Obsidian: VLA-WAM Training Methodology Report; Benchmarks and Robustness Report"
Fast-WAM,true,,,World Action Model; Auxiliary Video Training; No Test-time Imagination,"Wan2.2-based WAM that uses future-video prediction during training but removes imagination at inference; important negative control for whether video objectives matter more than planning.",https://yuantianyuan01.github.io/FastWAM/,false,"Obsidian: VLA-WAM Training Methodology Report; Benchmarks and Robustness Report"
LingBot-VA,true,,,World Action Model; Causal Modeling; Video-Action Tokens,"Causal WAM that interleaves video/action tokens and decodes actions through inverse dynamics; strong RoboTwin/LIBERO numbers but still very data- and benchmark-dependent.",https://technology.robbyant.com/lingbot-va,false,"Obsidian: VLA-WAM Training Methodology Report; Benchmarks and Robustness Report"
Robustness Study,true,,,Benchmark; Perturbations; VLA vs WAM,"Compares VLAs and WAMs on LIBERO-Plus/RoboTwin-Plus; key takeaway is that clean success is cheap, perturbation robustness is where the actual ranking changes.",https://arxiv.org/abs/2603.22078,false,"Obsidian: Benchmarks and Robustness Report"
Genie Envisioner / GE,true,,,World Model; GE-Act; GE-Sim; EWMBench; Cross-Embodiment,"Three-part stack: video world model, action decoder, and action-conditioned neural simulator. Useful because it separates world priors from embodiment-specific action heads.",https://genie-envisioner.github.io,false,"Obsidian: VLA-WAM Training Methodology Report; Benchmarks and Robustness Report"
Reconstruction or Semantics,true,,,Semantic Latents; World Model Evaluation; JEPA,"Shows semantic/action-relevant latents beat pixel-reconstruction latents for useful robotic world models; directly motivates using JEPA-style features for prediction-vs-reality mismatch.",https://hskalin.github.io/semantic-wm/,false,"Obsidian: VLA-WAM Training Methodology Report"
VLA-JEPA,true,,,JEPA; Latent World Model; Human Video; DROID,"Adds a latent JEPA-style world model to VLA training; useful because it makes the case for semantic latent prediction without requiring pixel-perfect reconstruction.",https://ginwind.github.io/VLA-JEPA/,false,"Obsidian: VLA-WAM Training Methodology Report; Benchmarks and Robustness Report"
JEPA Physical Planning,true,,,JEPA; Planning; Trajectory Scoring,"JEPA rollout/scoring paper where latent prediction is used for physical planning; useful reference for comparing predicted trajectories to desired/observed trajectories.",https://arxiv.org/abs/2603.16666,false,"Obsidian: VLA-WAM Training Methodology Report"
Joint Embedding vs Reconstruction,true,,,SSL Theory; JEPA; Reconstruction,"Theory reference for why joint-embedding prediction can be better than reconstruction when nuisance variation dominates; helps justify semantic-space residuals.",https://arxiv.org/abs/2601.21998,false,"Obsidian: VLA-WAM Training Methodology Report"
V-JEPA 2,false,,,Video JEPA; Self-supervised Video; Planning,"Self-supervised video model line behind several semantic-latent arguments; useful as the representation substrate, less directly a robot policy paper.",https://arxiv.org/abs/2506.09985,false,
Demo-JEPA,false,,,JEPA; One-shot Imitation; Cross-Embodiment,"Demo-conditioned JEPA robotics reference; likely useful for the idea of comparing predicted and observed transitions in latent space.",,false,
Any2Any,true,,,Cross-Embodiment; Humanoid; Adapter Transfer,"Humanoid whole-body transfer paper that separates kinematic alignment from dynamics adaptation; useful future reference for arm-to-arm and eventually arm-to-humanoid morphology transfer.",https://arxiv.org/pdf/2605.23733,false,"Obsidian: Future Experiment - Arm-to-Arm Embodiment Transfer via EEF Adapters"
CEI,false,,,Cross-Embodiment; 3D Interface; Policy Learning,"Unified 3D interface for cross-embodiment visuomotor policy learning; needs deeper pass before we rely on it.",,false,
MEM,false,,,Embodied Memory; VLA; Long-horizon,"Multi-scale embodied memory for VLAs; probably relevant to long-horizon context, but still needs a proper read.",,false,
Universal Actions,false,,,Universal Action Representation; Cross-Embodiment,"Universal action representation paper; likely relevant to making residual/action tokens less embodiment-specific, but not yet audited deeply.",,false,
Mirage,false,,,Cross-Embodiment; Visual Transfer; Cross-Painting,"Cross-embodiment transfer by visually replacing robots/cross-painting; useful baseline for observation-adapter ideas.",,false,
Flow Policy Gradients,false,,,Flow Policy; RL; Optimization,"RL/optimization method for flow-policy robot control; relevant if we turn the residual-action head into trainable control.",,false,
Flow Matching Policy Gradients,false,,,Flow Matching; Policy Gradient; RL,"Flow matching plus policy-gradient method; likely useful for later training, not immediate frozen-model diagnostics.",,false,
Dreamer 4,false,,,World Model; RL in Imagination; Minecraft,"Large-scale world model agent trained inside imagination; useful as a cost/scaling reference more than a robotics baseline.",https://arxiv.org/abs/2509.24527,false,
LeWorldModel,false,,,Latent World Model; JEPA,"Stable end-to-end JEPA-style latent world model; adjacent to the semantic-latent residual direction.",,false,
